Trial,Learning Rate,Batch Size,Kernel Sizes,Epochs,Activation Function,F1 Score,Accuracy,Precision,Recall,AUC Score
54,0.0027243260365655783,16,"(3, 5, 7)",49,SiLU,0.824089172252447,0.9026845637583893,0.841607794770502,0.8120592929832589,0.8120592929832589
55,0.0006820951585514133,16,"(3, 5, 7)",48,SiLU,0.8010754886190474,0.8845637583892616,0.8382857796993342,0.7796257675268439,0.7796257675268438
56,0.001226749032036379,64,"(3, 4, 5)",45,LeakyReLU,0.8430191808925087,0.9073825503355705,0.8860010011846908,0.815685346373791,0.815685346373791
57,0.001398481714224525,64,"(3, 4, 5)",45,LeakyReLU,0.8292413171639357,0.9046979865771811,0.851273896390552,0.8139506613935931,0.8139506613935932
58,0.001377067711132975,64,"(3, 4, 5)",45,LeakyReLU,0.8139819112323563,0.8966442953020135,0.8552417003022003,0.7867774081099259,0.7867774081099259
59,0.00017667942838087107,64,"(3, 4, 5)",42,LeakyReLU,0.7427100554858372,0.8731543624161073,0.852154732297701,0.7024675355025753,0.7024675355025753
60,0.0006658534927610218,64,"(3, 4, 5)",46,LeakyReLU,0.7974414704818964,0.8885906040268458,0.8612551582651349,0.7621880314100458,0.7621880314100458
61,0.0023530070035435243,64,"(3, 4, 5)",50,LeakyReLU,0.8282261298853045,0.8993288590604027,0.8580767178914581,0.8091030589134748,0.8091030589134748
62,0.005564236576026012,64,"(3, 4, 5)",43,LeakyReLU,0.8064209678154877,0.8885906040268455,0.8232355776912537,0.7933944098606647,0.7933944098606647
63,0.0011668929850269243,64,"(3, 4, 5)",46,LeakyReLU,0.806340768540271,0.8906040268456377,0.8521170372238736,0.7789433230725048,0.7789433230725048
64,0.014395462100243533,64,"(3, 4, 5)",50,LeakyReLU,0.8065085571442248,0.8859060402684562,0.8262115326313456,0.791983020772913,0.791983020772913
65,0.0022068221643947697,64,"(3, 4, 5)",44,LeakyReLU,0.8067560104662238,0.8879194630872483,0.8444910645365893,0.7821733159159012,0.7821733159159012
66,0.008052244588097472,64,"(3, 4, 5)",47,LeakyReLU,0.8246228909609693,0.8966442953020135,0.8345118097885861,0.8173223182987412,0.8173223182987414
67,0.00038008998405399905,64,"(3, 4, 5)",48,LeakyReLU,0.780433873090313,0.8818791946308725,0.8517545196137046,0.7441188496622267,0.7441188496622267
68,0.024736554537716542,64,"(3, 4, 5)",47,LeakyReLU,0.812098742058464,0.8859060402684564,0.8276831659675595,0.8003322800646828,0.8003322800646828
69,0.007096299414564564,64,"(3, 4, 5)",11,LeakyReLU,0.792183986440915,0.8738255033557047,0.8017531599500323,0.8041661670978503,0.8041661670978503
70,0.000679567829334948,64,"(3, 4, 5)",41,LeakyReLU,0.8142440978279991,0.8993288590604026,0.8543936665658272,0.7875001179764599,0.7875001179764598
71,0.010261005343724964,64,"(3, 4, 5)",45,LeakyReLU,0.8293798858565374,0.8986577181208053,0.8369810329965569,0.8241383762895611,0.8241383762895611
72,0.008379763460755914,64,"(3, 4, 5)",20,LeakyReLU,0.8015972832270046,0.889261744966443,0.8158202375114992,0.791505116312724,0.7915051163127239
73,0.004288702295008052,64,"(3, 4, 5)",45,LeakyReLU,0.8579682336937339,0.9140939597315437,0.8762195102844552,0.8439317543829317,0.8439317543829317
74,0.001869927517309444,64,"(3, 4, 5)",45,LeakyReLU,0.8266607956007777,0.9006711409395972,0.85761392964985,0.804352991944922,0.804352991944922
75,0.004205122760270037,64,"(5, 7, 9)",27,LeakyReLU,0.7941701133583662,0.878523489932886,0.8147868309491948,0.7788067154897302,0.7788067154897302
76,0.029760291632943903,32,"(3, 4, 5)",49,LeakyReLU,0.8052231608689013,0.8885906040268455,0.8152210231498259,0.7975319229458554,0.7975319229458554
77,3.6185318658286254e-05,64,"(3, 4, 5)",42,ReLU,0.6641645407055969,0.8456375838926175,0.822387163416743,0.6355821102757094,0.6355821102757093
78,0.0009267752855067286,64,"(3, 4, 5)",38,LeakyReLU,0.8092882564102766,0.9053691275167786,0.850534415581207,0.7838552660967277,0.7838552660967277
79,0.0014353344975390544,64,"(3, 4, 5)",40,LeakyReLU,0.8228149929329517,0.8979865771812081,0.8549653396306889,0.802231097428568,0.802231097428568
80,0.017446588575413688,64,"(2, 4, 6)",23,GELU,0.814045389967459,0.8838926174496645,0.8309740047145835,0.8069801048647459,0.8069801048647459
81,0.0017644709641085547,64,"(3, 4, 5)",45,LeakyReLU,0.8234568470280894,0.9033557046979865,0.855194462365224,0.8019236838938653,0.8019236838938653
82,0.0022066069237632003,64,"(3, 4, 5)",43,LeakyReLU,0.8094426850914621,0.8879194630872483,0.8402569971482693,0.7890901421105674,0.7890901421105674
83,0.0005082600255996672,64,"(3, 4, 5)",45,LeakyReLU,0.7953443925219077,0.889261744966443,0.8525757519081922,0.7643533921304335,0.7643533921304335
84,0.00492696340454567,64,"(3, 4, 5)",46,LeakyReLU,0.8330468915227897,0.9033557046979865,0.8569636660938036,0.814255002863842,0.814255002863842
85,0.010163503787849198,128,"(5, 7, 9)",50,LeakyReLU,0.7900200585639959,0.8812080536912752,0.804429540332886,0.7800955974661463,0.7800955974661463
86,0.004766887207375348,32,"(3, 4, 5)",41,ReLU,0.8083997340695177,0.8926174496644295,0.8326818606157025,0.7927681530356836,0.7927681530356836
87,0.002989578973151027,64,"(3, 4, 5)",43,LeakyReLU,0.8354462453624493,0.9006711409395972,0.8535022000084969,0.8213829617222524,0.8213829617222524
88,0.003752604904489873,64,"(3, 4, 5)",43,LeakyReLU,0.8467126940248237,0.9100671140939596,0.8525382278345315,0.8445334853888038,0.8445334853888038
89,0.00365065427072735,64,"(3, 4, 5)",43,GELU,0.8229601664427948,0.8959731543624161,0.8406653714594554,0.8103146028178895,0.8103146028178895
90,0.0145710917955737,64,"(2, 4, 6)",39,LeakyReLU,0.8344031986761976,0.9053691275167784,0.8507782854828456,0.8214035491655662,0.8214035491655662
91,0.005969905961073459,64,"(2, 4, 6)",39,LeakyReLU,0.8307271252448224,0.9,0.8579554540205999,0.812317573948139,0.8123175739481387
92,0.014720628475859187,64,"(2, 4, 6)",36,LeakyReLU,0.8265312737017003,0.9,0.835089305270224,0.819535297694733,0.819535297694733
93,0.021917263060759556,64,"(2, 4, 6)",38,LeakyReLU,0.8366641336595272,0.9080536912751678,0.8420420434561835,0.834432243716998,0.834432243716998
94,0.02162640629698296,64,"(2, 4, 6)",39,LeakyReLU,0.8342551373390326,0.9100671140939598,0.8448605601925605,0.8270348695509433,0.8270348695509433
95,0.0058710948243897694,64,"(2, 4, 6)",38,LeakyReLU,0.8429998919573658,0.9093959731543624,0.8642278686907382,0.8271872712673629,0.8271872712673629
96,0.023575750721519864,64,"(2, 4, 6)",37,LeakyReLU,0.8359657518834915,0.9026845637583893,0.8517260116003417,0.8238477004107747,0.8238477004107747
97,0.04763617777193032,64,"(2, 4, 6)",38,LeakyReLU,0.8080152933930741,0.8912751677852349,0.8303879065314685,0.791616279787173,0.7916162797871727
98,0.021696222764673586,64,"(2, 4, 6)",37,LeakyReLU,0.8141355191263555,0.8899328859060402,0.8234200009470743,0.8080443334126748,0.8080443334126748
99,0.058257763775166525,64,"(2, 4, 6)",41,LeakyReLU,0.8121074516761763,0.8939597315436242,0.8275825008699831,0.8013759946262894,0.8013759946262894
